month,borough,transactions,avg_price
2024-10,Bronx,339,1097344
2024-10,Brooklyn,1093,1474224
2024-10,Manhattan,1173,4498342
2024-10,Queens,1518,1173895
2024-10,"Staten Island",446,825753
2024-11,Bronx,310,1068097
2024-11,Brooklyn,958,1493474
2024-11,Manhattan,987,2732223
2024-11,Queens,1364,2130651
2024-11,"Staten Island",392,738935
2024-12,Bronx,393,1336649
2024-12,Brooklyn,1188,1837978
2024-12,Manhattan,1131,2752788
2024-12,Queens,1359,937329
2024-12,"Staten Island",395,760749
2025-01,Bronx,341,1013858
2025-01,Brooklyn,1121,1596148
2025-01,Manhattan,1129,2709772
2025-01,Queens,1348,939335
2025-01,"Staten Island",382,741391
2025-02,Bronx,308,858322
2025-02,Brooklyn,961,1413986
2025-02,Manhattan,1102,3132771
2025-02,Queens,1120,927538
2025-02,"Staten Island",323,791947
2025-03,Bronx,444,3548566
2025-03,Brooklyn,1154,2040495
2025-03,Manhattan,1125,3339495
2025-03,Queens,1230,1044176
2025-03,"Staten Island",385,741584
2025-04,Bronx,303,1152761
2025-04,Brooklyn,1080,1683277
2025-04,Manhattan,1144,2631883
2025-04,Queens,1311,984632
2025-04,"Staten Island",344,732153
2025-05,Bronx,363,1415224
2025-05,Brooklyn,1129,1440972
2025-05,Manhattan,1194,2572593
2025-05,Queens,1530,2619899
2025-05,"Staten Island",351,881839
2025-06,Bronx,333,1555268
2025-06,Brooklyn,1225,1691050
2025-06,Manhattan,1396,2495473
2025-06,Queens,1264,935735
2025-06,"Staten Island",412,762604
2025-07,Bronx,343,1033002
2025-07,Brooklyn,1231,1631690
2025-07,Manhattan,1403,2613423
2025-07,Queens,1325,901410
2025-07,"Staten Island",412,871450
2025-08,Bronx,300,738552
2025-08,Brooklyn,1126,1686645
2025-08,Manhattan,1267,2401626
2025-08,Queens,1178,991578
2025-08,"Staten Island",349,797445
2025-09,Bronx,269,1862687
2025-09,Brooklyn,1021,2053263
2025-09,Manhattan,1113,2476071
2025-09,Queens,1001,914181
2025-09,"Staten Island",122,812190
